,champion,win,time,spell1,spell2,rune1,rune2,kill,death,assist,kda,lv,cs,cspm,kp,item1,item2,item3,item4,item5,item6
0,360,0,1578,7,4,8010,8100,3,8,3,0.75,12,130,4.9,29,3508,1053,3123,1038,1036,3111
1,236,1,1713,12,4,8005,8300,6,1,4,10.00,17,206,7.2,32,3508,3181,3812,3123,0,3047
2,360,0,1632,7,4,8010,8100,4,6,4,1.33,14,152,5.6,33,1055,3508,3105,3123,1053,3047
3,58,0,2030,12,4,8005,8400,2,12,8,0.83,14,82,2.4,27,3071,3053,1029,1029,0,3047
4,236,0,2545,12,4,8005,8300,14,10,9,2.30,18,284,6.7,55,3033,3181,3508,3812,3031,3047
5,10,1,2411,12,4,8021,8300,4,3,10,4.67,18,268,6.7,56,3124,3157,3146,0,3115,3111
6,107,0,2087,12,4,8010,8400,7,9,10,1.89,17,195,5.6,53,3065,3071,3074,3105,1053,3111
7,58,1,1517,12,4,8005,8400,5,4,9,3.50,14,129,5.1,50,1055,3071,3153,3105,1036,3047
8,126,1,2857,12,4,8010,8300,6,10,18,2.40,18,219,4.6,57,3156,2420,3142,3071,3072,3047
9,78,0,2510,12,4,8437,8200,2,4,9,2.75,18,241,5.8,61,3068,3143,3193,3065,1028,3047
10,121,0,1861,11,4,8112,8200,2,9,9,1.22,13,18,0.6,48,1400,3147,1036,1036,0,3047
11,81,0,1177,7,4,8010,8300,0,5,1,0.20,8,93,4.7,12,3004,1055,1027,0,0,3158
12,56,0,1308,14,4,8008,8100,4,7,1,0.71,10,105,4.8,28,1055,3147,3077,1028,1036,3111
13,360,1,1963,7,4,8010,8100,10,7,14,3.43,16,203,6.2,59,3508,3031,3072,3086,0,3111
14,56,1,1898,14,4,8008,8100,5,5,12,3.40,16,189,6.0,53,3071,3123,3074,3134,1036,3047
15,101,0,2044,7,4,8229,8300,6,8,9,1.88,14,51,1.5,62,3285,3853,3157,1058,0,3020
16,13,0,991,12,4,8230,8300,1,6,0,0.17,9,73,4.4,8,3070,2031,3010,3802,1029,2422
17,55,0,929,14,4,8010,8100,2,4,1,0.75,10,96,6.2,100,2055,1029,3146,0,0,3020
18,103,1,1650,14,4,8112,8200,4,4,11,3.75,14,128,4.7,58,3285,3157,3152,0,0,3020
19,360,1,2093,7,4,8010,8100,3,5,8,2.20,16,194,5.6,28,3072,3508,3026,0,0,3111
20,235,1,1711,7,4,8351,8000,4,7,20,3.43,14,154,5.4,60,3042,3071,3085,1033,0,3009
21,360,1,1733,7,4,8010,8100,10,1,10,20.00,15,212,7.3,51,1037,3072,3508,3123,1038,3111
22,45,1,1345,12,4,8351,8100,1,4,4,1.25,12,117,5.2,29,3108,2031,3030,1052,0,3020
23,360,0,2044,3,4,8010,8100,15,9,4,2.11,17,212,6.2,66,3508,3031,1038,3046,3072,3047
