,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
0,케이틀린,승리,34분 45초,회복,점멸,치명적 속도,마법,12/9/14,2.89,16,157,4.5,58%,광전사의 군화,폭풍갈퀴,고속 연사포,무한의 대검,수호 천사,민첩성의 망토
1,루시안,패배,22분 17초,회복,점멸,집중 공격,영감,3/2/1,2.00,11,174,7.8,33%,광전사의 군화,몰락한 왕의 검,탐식의 망치,점화석,도란의 방패,-
2,애쉬,승리,25분 11초,회복,점멸,치명적 속도,영감,6/2/7,6.50,13,160,6.4,59%,광전사의 군화,몰락한 왕의 검,-,루난의 허리케인,수호 천사,도란의 검
3,이즈리얼,패배,34분 41초,회복,점멸,정복자,영감,3/8/7,1.25,14,180,5.2,33%,명석함의 아이오니아 장화,무라마나,망가진 초시계,-,얼어붙은 건틀릿,죽음의 무도
4,이즈리얼,승리,32분 10초,회복,점멸,정복자,영감,4/3/7,3.67,15,214,6.7,33%,명석함의 아이오니아 장화,빌지워터의 해적검,수은 장식띠,무라마나,얼어붙은 건틀릿,죽음의 무도
5,애쉬,패배,28분 42초,정화,점멸,치명적 속도,영감,0/5/3,0.60,12,154,5.4,27%,광전사의 군화,몰락한 왕의 검,제어 와드,열정의 검,단검,도란의 검
6,케이틀린,승리,34분 57초,정화,점멸,치명적 속도,마법,5/5/11,3.20,15,218,6.2,64%,광전사의 군화,무한의 대검,수은 장식띠,고속 연사포,폭풍갈퀴,민첩성의 망토
7,진,승리,25분 27초,회복,점멸,기민한 발놀림,마법,2/4/9,2.75,13,181,7.1,31%,신속의 장화,폭풍갈퀴,고속 연사포,B.F. 대검,-,-
8,이즈리얼,패배,21분 42초,회복,점멸,정복자,영감,3/5/0,0.60,11,137,6.3,25%,명석함의 아이오니아 장화,무라마나,제어 와드,얼어붙은 건틀릿,롱소드,도란의 검
9,이즈리얼,패배,23분 23초,회복,점멸,정복자,영감,2/3/0,0.67,10,144,6.2,17%,명석함의 아이오니아 장화,무라마나,광휘의 검,탐식의 망치,단검,도란의 검
10,이즈리얼,승리,34분 8초,회복,점멸,정복자,영감,11/5/4,3.00,17,239,7.0,35%,명석함의 아이오니아 장화,몰락한 왕의 검,망가진 초시계,무라마나,얼어붙은 건틀릿,죽음의 무도
11,애쉬,패배,37분 7초,회복,점멸,치명적 속도,영감,2/7/13,2.14,17,202,5.4,39%,광전사의 군화,몰락한 왕의 검,루난의 허리케인,무한의 대검,열정의 검,단검
12,애쉬,패배,20분 10초,회복,점멸,치명적 속도,영감,2/2/3,2.50,10,137,6.8,62%,광전사의 군화,몰락한 왕의 검,-,단검,단검,도란의 검
13,애쉬,승리,31분 59초,회복,점멸,치명적 속도,영감,5/2/11,8.00,15,173,5.4,44%,광전사의 군화,몰락한 왕의 검,루난의 허리케인,B.F. 대검,곡괭이,주문포식자
14,애쉬,승리,22분 28초,정화,점멸,치명적 속도,영감,5/1/5,10.00,13,169,7.5,38%,광전사의 군화,몰락한 왕의 검,제어 와드,루난의 허리케인,B.F. 대검,도란의 검
15,이즈리얼,패배,24분 7초,정화,점멸,정복자,영감,3/5/1,0.80,11,145,6.0,25%,명석함의 아이오니아 장화,무라마나,제어 와드,삼위일체,롱소드,도란의 검
16,이즈리얼,승리,26분 28초,회복,점멸,정복자,영감,2/2/10,6.00,13,186,7.0,38%,명석함의 아이오니아 장화,빌지워터의 해적검,무라마나,얼어붙은 건틀릿,단검,도란의 검
17,이즈리얼,패배,36분 34초,회복,점멸,정복자,영감,4/14/15,1.36,16,132,3.6,50%,명석함의 아이오니아 장화,몰락한 왕의 검,무라마나,얼어붙은 건틀릿,최후의 속삭임,-
18,이즈리얼,승리,30분 2초,회복,점멸,정복자,영감,4/3/8,4.00,14,165,5.5,30%,명석함의 아이오니아 장화,빌지워터의 해적검,무라마나,얼어붙은 건틀릿,곡궁,도란의 검
19,이즈리얼,승리,30분 36초,회복,점멸,정복자,영감,6/1/11,17.00,15,197,6.4,63%,명석함의 아이오니아 장화,몰락한 왕의 검,수은 장식띠,-,무라마나,얼어붙은 건틀릿
20,이즈리얼,패배,41분 36초,회복,점멸,정복자,영감,4/8/7,1.38,17,272,6.5,29%,명석함의 아이오니아 장화,몰락한 왕의 검,무라마나,얼어붙은 건틀릿,피바라기,콜필드의 전투 망치
21,모르가나,승리,24분 24초,점화,점멸,신비로운 유성,영감,3/7/13,2.29,12,9,0.4,41%,명석함의 아이오니아 장화,존야의 모래시계,얼음 정수의 파편,슈렐리아의 몽상,금지된 우상,제어 와드
22,이즈리얼,패배,26분 39초,회복,점멸,치명적 속도,영감,4/5/2,1.20,12,172,6.5,33%,명석함의 아이오니아 장화,빌지워터의 해적검,무라마나,얼어붙은 건틀릿,주문포식자,도란의 검
23,이즈리얼,승리,20분 30초,회복,점멸,치명적 속도,영감,6/1/8,14.00,11,135,6.6,74%,명석함의 아이오니아 장화,무라마나,-,얼어붙은 건틀릿,콜필드의 전투 망치,도란의 검
24,이즈리얼,패배,29분 44초,회복,점멸,치명적 속도,영감,5/4/5,2.50,14,232,7.8,43%,명석함의 아이오니아 장화,무라마나,-,얼어붙은 건틀릿,죽음의 무도,-
25,애쉬,패배,36분 21초,회복,점멸,치명적 속도,영감,2/9/8,1.11,15,168,4.6,33%,광전사의 군화,정수 약탈자,루난의 허리케인,B.F. 대검,곡괭이,민첩성의 망토
26,케이틀린,패배,26분 21초,회복,점멸,치명적 속도,마법,5/3/3,2.67,13,185,7.0,50%,광전사의 군화,무한의 대검,제어 와드,고속 연사포,민첩성의 망토,키르히아이스의 파편
27,이즈리얼,패배,41분 9초,회복,점멸,정복자,영감,6/6/16,3.67,17,218,5.3,50%,명석함의 아이오니아 장화,몰락한 왕의 검,무라마나,얼어붙은 건틀릿,죽음의 무도,필멸자의 운명
28,이즈리얼,패배,24분 0초,회복,점멸,정복자,영감,2/4/5,1.75,12,143,6.0,58%,명석함의 아이오니아 장화,무라마나,광휘의 검,탐식의 망치,쐐기검,-
29,이즈리얼,승리,32분 35초,회복,점멸,정복자,영감,10/2/14,12.00,16,192,5.9,71%,명석함의 아이오니아 장화,무라마나,수은 장식띠,얼어붙은 건틀릿,죽음의 무도,-
30,케이틀린,패배,20분 20초,회복,점멸,치명적 속도,영감,1/0/0,Perfect,10,157,7.7,20%,광전사의 군화,충전형 물약,단검,무한의 대검,도란의 검,민첩성의 망토
31,애쉬,패배,21분 33초,정화,점멸,치명적 속도,영감,4/1/3,7.00,11,151,7.0,58%,광전사의 군화,정수 약탈자,제어 와드,루난의 허리케인,처형인의 대검,도란의 검
32,케이틀린,패배,21분 1초,정화,점멸,치명적 속도,마법,0/1/0,0.00,10,171,8.1,0%,광전사의 군화,무한의 대검,-,민첩성의 망토,키르히아이스의 파편,단검
33,이즈리얼,패배,28분 4초,회복,점멸,정복자,영감,2/3/4,2.00,12,163,5.8,50%,명석함의 아이오니아 장화,무라마나,얼어붙은 건틀릿,콜필드의 전투 망치,천 갑옷,도란의 검
34,진,패배,31분 58초,정화,점멸,기민한 발놀림,마법,5/4/9,3.50,14,196,6.1,39%,신속의 장화,무한의 대검,제어 와드,고속 연사포,폭풍갈퀴,처형인의 대검
35,케이틀린,패배,17분 39초,회복,점멸,기민한 발놀림,마법,0/2/0,0.00,8,78,4.4,0%,추적자의 팔목 보호대,-,-,-,-,-
36,애쉬,승리,32분 7초,정화,점멸,치명적 속도,영감,7/2/15,11.00,16,172,5.4,69%,광전사의 군화,몰락한 왕의 검,루난의 허리케인,무한의 대검,처형인의 대검,도란의 검
37,이즈리얼,패배,29분 2초,회복,점멸,치명적 속도,영감,1/2/6,3.50,13,217,7.5,47%,명석함의 아이오니아 장화,무라마나,얼어붙은 건틀릿,죽음의 무도,롱소드,제어 와드
38,이즈리얼,패배,30분 38초,회복,점멸,치명적 속도,영감,3/1/6,9.00,14,191,6.2,64%,명석함의 아이오니아 장화,빌지워터의 해적검,무라마나,삼위일체,곡궁,-
39,애쉬,승리,20분 29초,회복,점멸,치명적 속도,영감,4/0/7,Perfect,12,151,7.4,46%,광전사의 군화,몰락한 왕의 검,망가진 초시계,루난의 허리케인,도란의 검,-
40,미스 포츈,패배,38분 38초,회복,점멸,집중 공격,마법,1/8/15,2.00,16,240,6.2,44%,광전사의 군화,정수 약탈자,수은 장식띠,무한의 대검,유령 무희,롱소드
41,이즈리얼,승리,30분 37초,회복,점멸,치명적 속도,영감,10/1/14,24.00,15,178,5.8,52%,명석함의 아이오니아 장화,무라마나,얼어붙은 건틀릿,죽음의 무도,처형인의 대검,-
42,케이틀린,승리,28분 10초,회복,점멸,치명적 속도,마법,9/5/8,3.40,15,176,6.2,52%,광전사의 군화,무한의 대검,초시계,고속 연사포,폭풍갈퀴,주문포식자
43,이즈리얼,승리,17분 38초,회복,점멸,치명적 속도,영감,1/0/3,Perfect,10,121,6.9,22%,명석함의 아이오니아 장화,마나무네,제어 와드,광휘의 검,도란의 검,-
44,케이틀린,승리,31분 5초,회복,점멸,치명적 속도,마법,8/3/2,3.33,14,200,6.4,40%,광전사의 군화,무한의 대검,수은 장식띠,고속 연사포,민첩성의 망토,단검
45,유미,패배,30분 52초,회복,탈진,콩콩이 소환,정밀,0/3/9,3.00,13,23,0.7,69%,아테나의 부정한 성배,타곤 산의 방벽,제어 와드,불타는 향로,요정의 부적,요정의 부적
46,진,패배,29분 9초,방어막,점멸,기민한 발놀림,마법,9/4/6,3.75,13,178,6.1,62%,신속의 장화,무한의 대검,고속 연사포,민첩성의 망토,키르히아이스의 파편,처형인의 대검
47,애쉬,승리,21분 2초,회복,점멸,치명적 속도,영감,5/2/7,6.00,11,145,6.9,50%,광전사의 군화,몰락한 왕의 검,수은 장식띠,단검,단검,도란의 검
48,진,승리,19분 1초,회복,점멸,기민한 발놀림,마법,6/2/7,6.50,11,144,7.6,68%,헤르메스의 발걸음,무한의 대검,고속 연사포,도란의 검,-,-
49,케이틀린,승리,36분 57초,회복,점멸,치명적 속도,마법,8/7/11,2.71,16,252,6.8,53%,광전사의 군화,무한의 대검,수은 장식띠,고속 연사포,유령 무희,B.F. 대검
50,케이틀린,패배,21분 2초,정화,점멸,치명적 속도,마법,1/4/0,0.25,10,143,6.8,14%,광전사의 군화,무한의 대검,단검,단검,도란의 검,-
51,진,승리,20분 27초,회복,점멸,기민한 발놀림,마법,7/1/9,16.00,11,148,7.2,59%,신속의 장화,무한의 대검,-,고속 연사포,도란의 검,-
52,애쉬,승리,20분 18초,회복,점멸,치명적 속도,영감,3/2/11,7.00,11,143,7.0,52%,광전사의 군화,몰락한 왕의 검,루난의 허리케인,-,-,도란의 검
53,케이틀린,패배,43분 13초,정화,점멸,치명적 속도,마법,5/6/7,2.00,17,268,6.2,38%,광전사의 군화,무한의 대검,폭풍갈퀴,고속 연사포,피바라기,-
54,케이틀린,승리,22분 44초,회복,점멸,치명적 속도,마법,4/0/6,Perfect,12,177,7.8,53%,광전사의 군화,충전형 물약,-,무한의 대검,고속 연사포,도란의 검
55,이즈리얼,패배,30분 40초,정화,점멸,치명적 속도,영감,5/4/4,2.25,14,208,6.8,56%,명석함의 아이오니아 장화,빌지워터의 해적검,무라마나,얼어붙은 건틀릿,죽음의 무도,단검
56,이즈리얼,승리,19분 50초,회복,점멸,치명적 속도,영감,1/0/2,Perfect,11,168,8.5,25%,명석함의 아이오니아 장화,마나무네,얼어붙은 건틀릿,도란의 검,-,-
57,이즈리얼,패배,37분 56초,회복,점멸,치명적 속도,영감,4/2/9,6.50,15,217,5.7,36%,명석함의 아이오니아 장화,무라마나,수은 장식띠,얼어붙은 건틀릿,죽음의 무도,처형인의 대검
58,미스 포츈,패배,28분 28초,회복,점멸,집중 공격,마법,3/4/12,3.75,14,206,7.2,62%,광전사의 군화,정수 약탈자,수은 장식띠,무한의 대검,처형인의 대검,롱소드
59,이즈리얼,승리,36분 2초,회복,점멸,치명적 속도,영감,4/4/10,3.50,17,235,6.5,40%,명석함의 아이오니아 장화,무라마나,수은 장식띠,얼어붙은 건틀릿,죽음의 무도,처형인의 대검
60,애쉬,패배,31분 50초,회복,점멸,치명적 속도,영감,7/6/5,2.00,15,253,7.9,60%,광전사의 군화,몰락한 왕의 검,루난의 허리케인,무한의 대검,주문포식자,롱소드
61,케이틀린,승리,18분 55초,회복,점멸,치명적 속도,마법,3/3/7,3.33,11,144,7.6,38%,광전사의 군화,무한의 대검,충전형 물약,열정의 검,도란의 검,-
62,케이틀린,승리,34분 9초,회복,점멸,치명적 속도,마법,12/4/11,5.75,17,225,6.6,64%,광전사의 군화,무한의 대검,고속 연사포,폭풍갈퀴,피바라기,-
63,미스 포츈,패배,25분 34초,회복,점멸,집중 공격,마법,3/5/1,0.80,11,175,6.8,36%,광전사의 군화,정수 약탈자,무한의 대검,-,-,-
64,바드,패배,28분 21초,탈진,점멸,수호자,지배,0/8/18,2.25,13,33,1.2,62%,명석함의 아이오니아 장화,타곤 산의 방벽,미카엘의 도가니,구원,제어 와드,-
65,이즈리얼,패배,19분 13초,회복,점멸,치명적 속도,영감,0/0/1,Perfect,10,130,6.8,33%,속도의 장화,마나무네,-,광휘의 검,롱소드,도란의 방패
66,이즈리얼,승리,29분 28초,회복,점멸,치명적 속도,영감,2/0/5,Perfect,15,232,7.9,23%,명석함의 아이오니아 장화,무라마나,수은 장식띠,얼어붙은 건틀릿,콜필드의 전투 망치,군단의 방패
67,이즈리얼,패배,31분 38초,회복,점멸,치명적 속도,영감,7/1/11,18.00,15,202,6.4,67%,명석함의 아이오니아 장화,무라마나,수은 장식띠,얼어붙은 건틀릿,죽음의 무도,처형인의 대검
68,이즈리얼,승리,27분 1초,정화,점멸,치명적 속도,영감,12/2/9,10.50,13,180,6.7,75%,명석함의 아이오니아 장화,빌지워터의 해적검,무라마나,얼어붙은 건틀릿,죽음의 무도,단검
69,미스 포츈,패배,22분 30초,회복,점멸,집중 공격,마법,3/4/1,1.00,11,160,7.1,50%,광전사의 군화,정수 약탈자,-,B.F. 대검,도란의 검,-
70,이즈리얼,승리,27분 49초,회복,점멸,치명적 속도,영감,10/2/2,6.00,14,192,6.9,35%,명석함의 아이오니아 장화,무라마나,-,얼어붙은 건틀릿,죽음의 무도,-
71,이즈리얼,승리,29분 38초,회복,점멸,치명적 속도,영감,7/4/16,5.75,15,151,5.1,66%,명석함의 아이오니아 장화,무라마나,-,얼어붙은 건틀릿,죽음의 무도,흡혈의 낫
72,이즈리얼,승리,20분 53초,회복,점멸,치명적 속도,영감,2/1/4,6.00,11,138,6.6,32%,명석함의 아이오니아 장화,마나무네,-,광휘의 검,빙하의 장막,도란의 방패
73,케이틀린,패배,31분 44초,정화,점멸,치명적 속도,마법,5/3/13,6.00,16,216,6.8,67%,광전사의 군화,무한의 대검,수은 장식띠,고속 연사포,폭풍갈퀴,-
