,champion,win,time,spell1,spell2,rune1,rune2,kill,death,assist,kda,lv,cs,cspm,kp,item1,item2,item3,item4,item5,item6
0,51,1,1717,7,4,8008,8200,7,3,10,5.67,14,218,7.6,47,3006,3031,3094,1038,1018,2015
1,51,0,914,1,4,8021,8200,0,2,1,0.50,8,102,6.7,20,3006,2031,0,1038,1042,1055
2,51,0,1950,1,4,8008,8200,3,3,6,3.00,14,199,6.1,43,3006,3031,3140,3094,1038,1042
3,22,0,921,1,4,8008,8300,3,2,1,2.00,8,82,5.3,36,3006,3144,1043,1055,2055,0
4,51,1,912,7,4,8008,8200,2,1,4,6.00,9,113,7.4,29,3006,3031,1055,0,0,0
5,22,1,1595,7,4,8008,8300,7,7,11,2.57,13,140,5.3,44,3006,3153,2055,3085,1038,1055
6,51,1,1112,1,4,8008,8200,4,1,4,8.00,10,150,8.1,42,3006,3031,2055,3094,1055,0
7,51,1,1886,7,4,8008,8200,4,4,15,4.75,14,174,5.5,46,3006,3031,2421,3094,2015,1018
8,51,1,2205,7,4,8008,8200,16,2,6,11.00,17,298,8.1,69,3006,3031,3094,3095,3072,3033
9,51,1,1511,7,4,8008,8200,4,4,6,2.50,13,169,6.7,33,3006,3031,3140,3094,0,0
10,81,0,950,7,4,8008,8300,0,1,0,0.00,9,136,8.6,0,1001,3004,2031,1027,3057,1055
11,81,0,1471,7,4,8010,8300,2,5,1,0.60,12,156,6.4,30,3158,3042,3025,1036,1036,1055
12,22,0,1153,1,4,8008,8200,1,2,5,3.00,10,141,7.3,55,3006,3153,0,1042,1042,1055
13,22,1,2235,7,4,8008,8200,8,7,16,3.43,17,181,4.9,56,3006,3153,3140,3085,3031,1036
14,21,0,2396,7,4,8005,8200,10,4,14,6.00,18,244,6.1,67,3006,3508,3140,3031,3094,3123
15,22,1,1652,7,4,8008,8200,3,3,13,5.33,14,179,6.5,44,3006,3153,0,3085,3105,1055
16,22,1,1892,1,4,8008,8200,11,4,11,5.50,16,205,6.5,52,3006,3153,3085,3812,1038,3123
17,21,1,2412,7,4,8005,8200,10,5,12,4.40,18,266,6.6,55,3006,3508,3140,3031,3094,1038
18,498,0,1799,7,4,8008,8200,7,6,7,2.33,14,180,6.0,58,3006,3508,2055,3031,3046,3123
19,81,0,1253,7,4,8010,8300,3,7,5,1.14,11,121,5.8,47,3158,3004,2055,3025,1036,1055
