,champion,win,time,spell1,spell2,rune1,rune2,kill,death,assist,kda,lv,cs,cspm,kp,item1,item2,item3,item4,item5,item6
0,202,0,2227,1,4,8021,8300,7,8,7,1.75,16,265,7.1,42,3142,3026,0,3031,3009,3094
1,236,0,1431,7,4,8005,8300,3,8,3,0.75,13,155,6.5,32,3153,3508,2055,3006,1055,0
2,22,0,1922,7,4,8008,8300,3,10,12,1.50,15,207,6.5,50,3153,3085,3508,1042,1055,3006
3,350,1,1598,14,3,8214,8300,3,1,31,34.00,14,1,0.0,85,3504,0,3853,3107,3108,3174
4,25,1,2551,14,4,8229,8300,0,12,22,1.83,17,57,1.3,46,3157,3050,3853,2055,3117,3105
5,25,0,1774,14,4,8229,8300,3,6,8,1.83,11,15,0.5,46,3157,0,3853,2055,3050,3117
6,412,0,1568,7,4,8439,8300,1,15,9,0.67,12,27,1.0,45,3193,2031,3857,0,0,3117
7,236,0,1895,7,4,8005,8300,5,8,5,1.25,13,188,6.0,50,3153,3508,3046,3006,1055,3123
8,26,1,1360,12,4,8229,8300,2,3,10,4.00,12,60,2.6,50,1052,2003,1052,3285,3070,3020
9,236,1,1891,7,4,8005,8300,11,6,5,2.67,16,251,8.0,46,3153,3006,3031,3508,1042,3094
10,412,1,2099,14,4,8439,8300,3,7,27,4.29,14,32,0.9,65,3193,3190,3857,2055,3109,3117
11,22,0,1538,7,4,8008,8300,0,6,1,0.17,12,155,6.0,9,3153,2031,3086,1055,3006,0
12,412,1,2082,14,4,8439,8300,2,3,16,6.00,15,25,0.7,47,3193,3190,3857,2055,3117,3110
13,497,0,1611,3,4,8465,8300,2,8,16,2.25,11,32,1.2,72,3117,1057,3860,2055,3504,1031
14,143,0,1737,14,4,8229,8300,2,11,4,0.55,12,47,1.6,50,2424,3151,3853,1052,3020,3108
15,202,1,1499,1,4,8021,8300,5,3,12,5.67,14,200,8.0,61,3009,2031,3134,1055,3031,3094
16,236,1,1732,7,4,8005,8300,16,5,5,4.20,15,210,7.3,70,3153,3031,3006,3508,3094,1042
17,412,1,1976,14,4,8439,8300,3,2,25,14.00,16,28,0.9,78,3193,3110,3857,2055,3109,3117
18,143,1,1532,14,4,8229,8300,9,3,5,4.67,13,34,1.3,42,3157,3151,3853,0,0,3020
