,챔피언,게임 결과,게임 시간,소환사 주문1,소환사 주문2,메인 룬,보조 룬,KDA,평점,레벨,CS,분당 CS,킬관여,아이템1,아이템2,아이템3,아이템4,아이템5,아이템6
0,쓰레쉬,승리,34분 42초,점화,점멸,여진,영감,2/3/16,6.00,15,25,0.7,47%,가고일의 돌갑옷,강철의 솔라리 펜던트,화이트록의 갑옷,제어 와드,기동력의 장화,얼어붙은 심장
1,라칸,패배,26분 51초,탈진,점멸,수호자,영감,2/8/16,2.25,11,32,1.2,72%,기동력의 장화,음전자 망토,타곤 산의 방벽,제어 와드,불타는 향로,쇠사슬 조끼
2,자이라,패배,28분 57초,점화,점멸,신비로운 유성,영감,2/11/4,0.55,12,47,1.6,50%,망가진 초시계,리안드리의 고통,얼음 정수의 파편,증폭의 고서,마법사의 신발,악마의 마법서
3,진,승리,24분 59초,정화,점멸,기민한 발놀림,영감,5/3/12,5.67,14,200,8.0,61%,신속의 장화,충전형 물약,톱날 단검,도란의 검,무한의 대검,고속 연사포
4,루시안,승리,28분 52초,회복,점멸,집중 공격,영감,16/5/5,4.20,15,210,7.3,70%,몰락한 왕의 검,무한의 대검,광전사의 군화,정수 약탈자,고속 연사포,단검
5,쓰레쉬,승리,32분 56초,점화,점멸,여진,영감,3/2/25,14.00,16,28,0.9,78%,가고일의 돌갑옷,얼어붙은 심장,화이트록의 갑옷,제어 와드,기사의 맹세,기동력의 장화
6,자이라,승리,25분 32초,점화,점멸,신비로운 유성,영감,9/3/5,4.67,13,34,1.3,42%,존야의 모래시계,리안드리의 고통,얼음 정수의 파편,-,-,마법사의 신발
7,쓰레쉬,패배,21분 51초,회복,점멸,여진,영감,0/3/9,3.00,9,36,1.6,90%,스태틱의 단검,-,-,기동력의 장화,-,-
8,소라카,승리,27분 30초,방어막,점멸,콩콩이 소환,영감,2/2/18,10.00,12,12,0.4,74%,미카엘의 도가니,불타는 향로,얼음 정수의 파편,제어 와드,증폭의 고서,기동력의 장화
9,애쉬,승리,37분 46초,회복,점멸,치명적 속도,영감,8/7/17,3.57,17,218,5.8,60%,몰락한 왕의 검,수호 천사,-,광전사의 군화,루난의 허리케인,유령 무희
10,케이틀린,승리,34분 30초,회복,점멸,기민한 발놀림,영감,10/4/10,5.00,17,264,7.7,71%,광전사의 군화,망가진 초시계,유령 무희,무한의 대검,고속 연사포,정수 약탈자
11,유미,패배,25분 12초,점화,탈진,콩콩이 소환,영감,0/4/6,1.50,10,2,0.1,33%,미카엘의 도가니,아테나의 부정한 성배,얼음 정수의 파편,제어 와드,-,-
12,애쉬,패배,34분 24초,정화,점멸,치명적 속도,영감,4/13/10,1.08,15,211,6.1,41%,몰락한 왕의 검,유령 무희,광전사의 군화,루난의 허리케인,폭풍갈퀴,-
13,징크스,패배,23분 12초,회복,점멸,치명적 속도,영감,1/12/1,0.17,11,115,5.0,14%,도란의 검,광전사의 군화,단검,무한의 대검,단검,단검
14,트위치,승리,33분 31초,회복,점멸,치명적 속도,영감,3/5/9,2.40,16,183,5.5,32%,몰락한 왕의 검,광전사의 군화,루난의 허리케인,무한의 대검,열정의 검,단검
15,진,패배,15분 21초,회복,점멸,기민한 발놀림,영감,2/5/4,1.20,9,102,6.6,86%,굳건한 의지의 완전한 비스킷,체력 물약,도란의 검,무한의 대검,-,신속의 장화
16,나미,패배,19분 10초,점화,점멸,콩콩이 소환,영감,0/4/1,0.25,8,5,0.3,17%,완벽한 초시계,기동력의 장화,얼음 송곳니,금지된 우상,-,-
17,루시안,패배,28분 44초,회복,점멸,집중 공격,영감,3/4/3,1.50,14,240,8.4,46%,몰락한 왕의 검,수은 장식띠,-,고속 연사포,정수 약탈자,광전사의 군화
18,루시안,승리,25분 33초,회복,점멸,집중 공격,영감,8/5/7,3.00,13,177,6.9,56%,몰락한 왕의 검,광전사의 군화,-,도란의 검,고속 연사포,정수 약탈자
19,쓰레쉬,승리,29분 30초,회복,점멸,여진,영감,1/4/22,5.75,14,29,1.0,61%,가고일의 돌갑옷,기사의 맹세,화이트록의 갑옷,제어 와드,기동력의 장화,마법무효화의 망토
